image_paths,title,price,post_url,location
"images\listing_1_image_1.png_20240927_122438.png, images\listing_1_image_2.png_20240927_122439.png, images\listing_1_image_3.png_20240927_122441.png, images\listing_1_image_4.png_20240927_122442.png, images\listing_1_image_5.png_20240927_122444.png, images\listing_1_image_6.png_20240927_122446.png, images\listing_1_image_7.png_20240927_122447.png, images\listing_1_image_8.png_20240927_122449.png, images\listing_1_image_9.png_20240927_122450.png, images\listing_1_image_10.png_20240927_122452.png",House & Lot,PHP78,https://www.facebook.com/marketplace/item/492695293655556/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_2_image_1.png_20240927_122458.png,DUA SINGLE ATTACHED 2 STOREY HOUSE AND LOT,"PHP2,700,000",https://www.facebook.com/marketplace/item/1693315914748896/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_3_image_1.png_20240927_122505.png, images\listing_3_image_2.png_20240927_122506.png, images\listing_3_image_3.png_20240927_122508.png",Old house and lot for sale,PHP25,https://www.facebook.com/marketplace/item/8358896307480211/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_4_image_1.png_20240927_122514.png, images\listing_4_image_2.png_20240927_122516.png, images\listing_4_image_3.png_20240927_122517.png, images\listing_4_image_4.png_20240927_122519.png, images\listing_4_image_5.png_20240927_122521.png, images\listing_4_image_6.png_20240927_122522.png, images\listing_4_image_7.png_20240927_122524.png, images\listing_4_image_8.png_20240927_122525.png, images\listing_4_image_9.png_20240927_122527.png, images\listing_4_image_10.png_20240927_122529.png",House for sale,$5,https://www.facebook.com/marketplace/item/1052522686400358/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_5_image_1.png_20240927_122535.png, images\listing_5_image_2.png_20240927_122537.png, images\listing_5_image_3.png_20240927_122538.png, images\listing_5_image_4.png_20240927_122540.png",HOUSE AND LOT FOR SALE RINCON  VALENZUELA 93.5 SQ.METER ALONG HIGH WAY GOOD FOR ANY BUSINESS.,PHP3,https://www.facebook.com/marketplace/item/453220227040093/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_6_image_1.png_20240927_122546.png, images\listing_6_image_2.png_20240927_122548.png",House for rent,"PHP5,000",https://www.facebook.com/marketplace/item/520945817292122/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_7_image_1.png_20240927_122554.png, images\listing_7_image_2.png_20240927_122556.png, images\listing_7_image_3.png_20240927_122557.png, images\listing_7_image_4.png_20240927_122559.png, images\listing_7_image_5.png_20240927_122600.png, images\listing_7_image_6.png_20240927_122602.png, images\listing_7_image_7.png_20240927_122604.png, images\listing_7_image_8.png_20240927_122605.png, images\listing_7_image_9.png_20240927_122607.png",For sale house and lot complete papers po yan. Naka ready na rin po ung pra sa second floor po nyan,"PHP1,200,000",https://www.facebook.com/marketplace/item/517368731089833/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_8_image_1.png_20240927_122612.png,House and lot for sale,"PHP8,500,000",https://www.facebook.com/marketplace/item/3651255138537806/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_9_image_1.png_20240927_122617.png,House&lot for sale,PHP35,https://www.facebook.com/marketplace/item/723471689905687/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_10_image_1.png_20240927_122623.png, images\listing_10_image_2.png_20240927_122624.png, images\listing_10_image_3.png_20240927_122626.png, images\listing_10_image_4.png_20240927_122628.png, images\listing_10_image_5.png_20240927_122629.png, images\listing_10_image_6.png_20240927_122631.png",house and lot,PHP18,https://www.facebook.com/marketplace/item/352484657938851/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_11_image_1.png_20240927_122636.png,House in Lot for sale,PHP5,https://www.facebook.com/marketplace/item/1024804392465720/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
"images\listing_12_image_1.png_20240927_122642.png, images\listing_12_image_2.png_20240927_122644.png, images\listing_12_image_3.png_20240927_122645.png",San Andres Bukid House and Lot,PHP45,https://www.facebook.com/marketplace/item/556549603481703/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
images\listing_13_image_1.png_20240927_122651.png,House and Lot in sta ana manila,"PHP8,000,000",https://www.facebook.com/marketplace/item/2090270444702967/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A54e04ce6-d190-42eb-807e-ae15be8c2d32&__tn__=!%3AD,"Manila, NCR"
